system:index,class,.geo
1_1_1_1_0,4,"{""type"":""Point"",""coordinates"":[-45.87732472663395,-22.200306231122287]}"
1_1_1_1_1,4,"{""type"":""Point"",""coordinates"":[-45.877405192904405,-22.200624102508037]}"
1_1_1_1_2,4,"{""type"":""Point"",""coordinates"":[-45.87765195613376,-22.20083767194114]}"
1_1_1_1_3,4,"{""type"":""Point"",""coordinates"":[-45.885858271903395,-22.20027447494546]}"
1_1_1_1_4,4,"{""type"":""Point"",""coordinates"":[-45.88635179836213,-22.20048059480082]}"
1_1_1_1_5,4,"{""type"":""Point"",""coordinates"":[-45.886688224245624,-22.200788532334222]}"
1_1_1_1_6,4,"{""type"":""Point"",""coordinates"":[-45.88467089616121,-22.200237047829347]}"
1_1_1_1_7,4,"{""type"":""Point"",""coordinates"":[-45.884252471554895,-22.200261881569514]}"
1_1_1_1_8,4,"{""type"":""Point"",""coordinates"":[-45.91733483754458,-22.23345900809492]}"
1_1_1_1_9,4,"{""type"":""Point"",""coordinates"":[-45.91837553464236,-22.23416411759724]}"
1_1_1_1_10,4,"{""type"":""Point"",""coordinates"":[-45.9187617727405,-22.234521636552998]}"
1_1_1_1_11,4,"{""type"":""Point"",""coordinates"":[-45.838025603623855,-22.14111744547452]}"
1_1_1_1_12,4,"{""type"":""Point"",""coordinates"":[-45.838358197541694,-22.140039203659928]}"
1_1_1_1_13,4,"{""type"":""Point"",""coordinates"":[-45.83837965521382,-22.1405013083057]}"
1_1_1_1_14,4,"{""type"":""Point"",""coordinates"":[-45.8352197757572,-22.145229452969524]}"
1_1_1_1_15,4,"{""type"":""Point"",""coordinates"":[-45.835391437134156,-22.14504064254113]}"
1_1_1_1_16,4,"{""type"":""Point"",""coordinates"":[-45.83623696878939,-22.143940558098393]}"
1_1_1_1_17,4,"{""type"":""Point"",""coordinates"":[-45.83661784246951,-22.14336418335239]}"
1_1_1_1_18,4,"{""type"":""Point"",""coordinates"":[-45.836848512444796,-22.14309587016579]}"
1_1_1_1_19,4,"{""type"":""Point"",""coordinates"":[-45.8371381910184,-22.14274805601472]}"
1_1_1_1_20,4,"{""type"":""Point"",""coordinates"":[-45.88917135742478,-22.340551043909198]}"
1_1_1_1_21,4,"{""type"":""Point"",""coordinates"":[-45.8903837158995,-22.34047165557005]}"
1_1_1_1_22,4,"{""type"":""Point"",""coordinates"":[-45.867572103972776,-22.322029228091715]}"
1_1_1_1_23,4,"{""type"":""Point"",""coordinates"":[-45.86797979974304,-22.32238652249999]}"
1_1_1_1_24,4,"{""type"":""Point"",""coordinates"":[-45.86821583413636,-22.322426221822205]}"
1_1_1_1_25,4,"{""type"":""Point"",""coordinates"":[-46.006585263999476,-22.237244571614365]}"
1_1_1_1_26,4,"{""type"":""Point"",""coordinates"":[-46.61090769621878,-21.595731738737292]}"
1_1_1_1_27,4,"{""type"":""Point"",""coordinates"":[-46.59013666960746,-21.59525290368845]}"
1_1_1_1_28,4,"{""type"":""Point"",""coordinates"":[-45.98280429149932,-21.27197503998148]}"
1_1_1_1_29,4,"{""type"":""Point"",""coordinates"":[-45.98211764599151,-21.282372454823328]}"
1_1_1_1_30,4,"{""type"":""Point"",""coordinates"":[-45.983147614253234,-21.291009748282058]}"
1_1_1_1_31,4,"{""type"":""Point"",""coordinates"":[-46.11990480099838,-21.82727112309598]}"
1_1_1_1_32,4,"{""type"":""Point"",""coordinates"":[-46.114926621066736,-21.830139480639527]}"
1_1_1_1_33,4,"{""type"":""Point"",""coordinates"":[-46.79049569107336,-22.121584808624416]}"
1_1_1_1_34,4,"{""type"":""Point"",""coordinates"":[-46.82341780238381,-22.110075127739265]}"
1_1_1_1_35,4,"{""type"":""Point"",""coordinates"":[-45.84277242543692,-21.30279164117321]}"
1_1_1_1_36,4,"{""type"":""Point"",""coordinates"":[-45.82903951528066,-21.316545180329395]}"
1_1_1_1_37,4,"{""type"":""Point"",""coordinates"":[-45.824232996725975,-21.327419159832395]}"
1_1_1_1_38,4,"{""type"":""Point"",""coordinates"":[-45.826636256003326,-21.368668986968164]}"
1_1_1_1_39,4,"{""type"":""Point"",""coordinates"":[-46.155473451049694,-20.948134258365016]}"
1_1_1_1_40,4,"{""type"":""Point"",""coordinates"":[-46.16474316540516,-20.94588982700631]}"
1_1_1_1_41,4,"{""type"":""Point"",""coordinates"":[-46.16380573130956,-21.015044126674994]}"
1_1_1_1_42,4,"{""type"":""Point"",""coordinates"":[-46.154879339708,-21.02097301991605]}"
1_1_1_1_43,4,"{""type"":""Point"",""coordinates"":[-46.124666937364246,-21.023536792628377]}"
1_1_1_1_44,4,"{""type"":""Point"",""coordinates"":[-46.09136729654487,-21.033309527253877]}"
1_1_1_2_0,2,"{""type"":""Point"",""coordinates"":[-45.927087690228895,-22.224842751882733]}"
1_1_1_2_1,2,"{""type"":""Point"",""coordinates"":[-45.927345182294324,-22.225081113802748]}"
1_1_1_2_2,2,"{""type"":""Point"",""coordinates"":[-45.926529790753804,-22.22504138684421]}"
1_1_1_2_3,2,"{""type"":""Point"",""coordinates"":[-45.93326749979921,-22.229967443865633]}"
1_1_1_2_4,2,"{""type"":""Point"",""coordinates"":[-45.93356790720888,-22.229927718291595]}"
1_1_1_2_5,2,"{""type"":""Point"",""coordinates"":[-45.93318166911073,-22.230046894979928]}"
1_1_1_2_6,2,"{""type"":""Point"",""coordinates"":[-45.93545618235536,-22.236919245948446]}"
1_1_1_2_7,2,"{""type"":""Point"",""coordinates"":[-45.93185129343935,-22.23958070175263]}"
1_1_1_2_8,2,"{""type"":""Point"",""coordinates"":[-45.94219389140077,-22.240375156375023]}"
1_1_1_2_9,2,"{""type"":""Point"",""coordinates"":[-45.94326677500674,-22.230046894979928]}"
1_1_1_2_10,2,"{""type"":""Point"",""coordinates"":[-45.94369592844911,-22.231318106684693]}"
1_1_1_2_11,2,"{""type"":""Point"",""coordinates"":[-45.93575658976503,-22.224445481115648]}"
1_1_1_2_12,2,"{""type"":""Point"",""coordinates"":[-45.935971166486226,-22.22619346407196]}"
1_1_1_2_13,2,"{""type"":""Point"",""coordinates"":[-45.936571981305555,-22.227623615737393]}"
1_1_1_2_14,2,"{""type"":""Point"",""coordinates"":[-45.924341108197645,-22.221624826306964]}"
1_1_1_2_15,2,"{""type"":""Point"",""coordinates"":[-45.924856092328504,-22.222618021091073]}"
1_1_1_2_16,2,"{""type"":""Point"",""coordinates"":[-45.930619251126814,-22.229999536824597]}"
1_1_1_2_17,2,"{""type"":""Point"",""coordinates"":[-45.93067476056675,-22.240858006861973]}"
1_1_1_2_18,2,"{""type"":""Point"",""coordinates"":[-45.93140432141881,-22.241692176492823]}"
1_1_1_2_19,2,"{""type"":""Point"",""coordinates"":[-45.93088933728795,-22.242208564727846]}"
1_1_1_2_20,2,"{""type"":""Point"",""coordinates"":[-45.930717675911005,-22.243717996348035]}"
1_1_1_2_21,2,"{""type"":""Point"",""coordinates"":[-45.92290708325963,-22.258295090912622]}"
